ลำดับ,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาการคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจแพทย์,ระยะเวลาหลังพบแพทย์,ระยะเวลารอการชำระเงิน,ระยะเวลารับยา,ระยะเวลารอรับยาเดิม,ระยะเวลากรณีได้รับ intervention อื่นๆ,จำนวนผู้ป่วยรับไว้รักษา (Admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา (Admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ,ประเภทผู้ป่วย
25,0,9786,5.39,0.26,57.10,5.50,0.00,37.38,7.13,21.00,55.00,266,26.00,12244,10,2563,1
26,449,0,28.35,2.24,57.17,25.57,0.00,36.48,6.42,0.00,68.00,101,27.00,12244,10,2563,2
27,0,10085,4.51,0.23,51.24,5.25,0.00,38.18,7.23,22.00,56.00,317,27.00,12244,11,2563,1
28,496,0,31.30,2.55,56.45,23.2,0.00,28.34,7.6,0.00,52.00,90,25.00,12244,11,2563,2
29,0,10111,3.50,0.25,54.27,5.35,0.00,39.12,6.56,22.00,54.00,288,28.00,12244,12,2563,1
30,452,0,22.39,2.43,55.3,22.35,0.00,34.7,7.58,0.00,54.00,111,21.00,12244,12,2563,2
31,0,9569,3.34,0.25,44.14,5.17,0.00,43.7,7.28,23.00,50.00,246,27.00,12244,1,2564,1
32,378,0,35.40,1.5,11.23,29.51,0.00,34.47,8.42,0.00,68.00,99,22.00,12244,1,2564,2
33,0,8641,3.31,0.26,49.28,5.52,0.00,41.55,6.51,20.00,55.00,231,22.00,12244,2,2564,1
34,355,0,11.2,1.26,53.38,18.38,0.00,31.16,6.42,0.00,60.00,77,26.00,12244,2,2564,2
35,0,11008,4.11,0.28,52.12,6.36,0.00,36.57,5.12,22.00,57.00,315,29.00,12244,3,2564,1
36,471,0,28.49,3.8,15.12,26.27,0.00,35.9,6.36,0.00,64.00,90,24.00,12244,3,2564,2
37,0,8920,5.25,0.29,45.50,4.50,0.00,2.49,5.40,24.00,63.00,218,22.00,12244,4,2564,1
38,185,0,19.17,1.21,50.46,26.31,0.00,46.58,5.17,0.00,69.00,65,26.00,12244,4,2564,2
39,0,8968,5.46,0.27,31.44,5.4,0.00,43.7,6.25,22.00,55.00,171,22.00,12244,5,2564,1
40,94,0,12.33,8.7,30.42,23.24,0.00,40.4,3.34,0.00,63.00,57,24.00,12244,5,2564,2
41,0,8578,4.43,0.30,33.53,4.54,0.00,34.43,5.39,21.00,69.00,227,22.00,12244,6,2564,1
42,114,0,14.37,7.27,22.40,16.40,0.00,43.39,3.21,0.00,65.00,81,28.00,12244,6,2564,2
43,0,7716,4.34,0.30,31.11,5.27,0.00,36.4,5.19,26.00,68.00,101,26.00,12244,7,2564,1
44,105,0,8.53,5.49,15.27,18.24,0.00,42.38,4.31,0.00,52.00,15,26.00,12244,7,2564,2
45,0,9081,4.9,0.31,31.36,6.19,0.00,33.2,5.46,20.00,50.00,118,28.00,12244,8,2564,1
46,153,0,20.18,5.39,30.54,13.14,0.00,32.44,4.36,0.00,64.00,30,25.00,12244,8,2564,2
47,0,8937,4.51,0.30,39.29,6.21,0.00,34.13,4.28,25.00,62.00,171,27.00,12244,9,2564,1
48,239,0,21.48,5.40,27.0,15.27,0.00,30.7,4.54,0.00,65.00,54,23.00,12244,9,2564,2
