ลำดับ,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาการคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจแพทย์,ระยะเวลาหลังพบแพทย์จนถึงยื่นใบสั่งยา,ระยะเวลารอรับยา,ระยะเวลารับยาเดิม,ระยะเวลารอรับยาเดิม,ระยะเวลากรณีได้รับ intervention,จำนวนผู้ป่วยรับไว้รักษา (Admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา (Admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,12277,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,12280,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,12280,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,12280,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,12289,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,12289,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,12289,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,12290,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,12290,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,12290,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,13775,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,13775,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,13775,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,14171,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,14171,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,14171,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,14644,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,14644,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,14644,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,14717,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,14717,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,14717,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,14955,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,14955,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,14955,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,24746,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,24746,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,24746,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,40915,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,40915,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,40915,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,41429,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,41429,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,41429,10,2564



