ลำดับ,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาการคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจแพทย์,ระยะเวลาหลังพบแพทย์,ระยะเวลารอการชำระเงิน,ระยะเวลารับยา,ระยะเวลารอรับยาเดิม,ระยะเวลากรณีได้รับ intervention อื่นๆ,จำนวนผู้ป่วยรับไว้รักษา (Admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา (Admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ,ประเภทผู้ป่วย
13,0,10710,67.23,2.58,84.31,3.56,0,33.66,25.23,51.86,7.28,317,66.64,12260,10,2564,1
14,0,10790,76.97,2.74,74.27,3.88,0,30.8,29.86,52.4,7.85,333,66.05,12260,11,2564,1
15,0,10783,65.75,2.62,70.55,3.42,0,33.96,32.18,60.38,6.79,346,63.65,12260,12,2564,1
16,0,10511,41.18,2.73,72.63,3.66,0,39.8,23.92,40.74,7.25,305,60.13,12260,1,2564,1
17,0,9789,48.97,2.58,77.61,3.78,0,38.74,25.65,61.53,7.87,291,62.13,12260,2,2564,1
18,0,12655,53.14,2.69,82.04,3.83,0,37.78,24.16,61.74,6.49,329,61.18,12260,3,2564,1
19,0,9754,63.93,2.76,61.65,3.61,0,42.13,30.52,72.05,7.57,200,53.52,12260,4,2564,1
20,0,9320,58.24,2.66,60.13,3.81,0,34.55,25.24,48.23,8.21,288,54.05,12260,5,2564,1
21,0,9672,50.86,2.63,68.52,3.93,0,31.56,27.34,41.28,8.94,231,52.82,12260,6,2564,1
22,0,10383,45.31,2.58,66.87,3.92,0,40.99,22.82,40.47,13.78,473,109.21,12260,7,2564,1
23,0,9635,47.01,2.52,63.78,3.95,0,35.58,22.43,37.63,10.63,259,73.16,12260,8,2564,1
24,0,9014,41.86,2.59,70.45,4.55,0,34.76,23.07,57.56,11.48,197,73.88,12260,9,2564,1
25,833,0,18.96,4.61,101.77,9.54,0,41.28,0,0,17.21,126,0,12260,10,2563,2
26,798,0,36.64,4.45,97.8,9.24,0,42.71,0,0,17.42,131,0,12260,11,2563,2
27,650,0,26.93,4.7,94.99,8.48,0,46.22,0,0,17.52,115,0,12260,12,2563,2
28,785,0,13.06,5.02,92.11,9.61,0,35.34,0,0,16.95,131,0,12260,1,2563,2
29,639,0,34.48,5.48,77.17,9.52,0,35.62,0,0,16.64,102,39.22,12260,2,2563,2
30,623,0,15.25,5.36,77.28,8.37,0,37.3,0,0,17.42,105,18.03,12260,3,2563,2
31,446,0,23.07,5.94,68.87,12.03,0,26.95,17.71,38.47,16.79,78,0,12260,4,2563,2
32,588,0,40.67,5.58,64.07,11.06,0,35.8,16.47,26.29,16.79,104,0,12260,5,2563,2
33,653,0,35.86,5.73,84.49,13.67,0,34.34,20.25,31.18,18.07,98,0,12260,6,2563,2
34,649,0,29.55,5.58,67.72,10.71,0,31.59,23.28,29.07,16.51,87,0,12260,7,2563,2
35,668,0,31.46,6.62,69.48,11.45,0,33.7,21.65,33.78,18.17,104,114.2,12260,8,2563,2
36,675,0,29.03,6.12,82.62,10.24,0,37.32,22.24,29.91,19.38,114,0,12260,9,2563,2
37,714,0,28.77,5.61,75.78,11.06,0,40.8,25.55,51.86,16.73,96,0,12260,10,2564,2
38,680,0,38,6.55,73.67,11.66,0,34.29,28.28,52.4,16.84,102,0,12260,11,2564,2
39,677,0,28.75,6.11,72.72,11.24,0,37.58,35.2,60.38,16.69,96,24.8,12260,12,2564,2
40,591,0,22.7,6.06,71.15,13.14,0,38.72,32.66,40.74,17.75,119,160.18,12260,1,2564,2
41,540,0,31.43,6.22,82.99,10.84,0,38.51,39.67,61.53,17.59,80,0,12260,2,2564,2
42,689,0,32.06,4.97,81.16,10.98,0,45.25,28.08,61.74,17.59,117,0,12260,3,2564,2
43,283,0,28.88,5.76,84.56,12.59,0,44.25,43.17,72.05,14.74,80,22.35,12260,4,2564,2
44,234,0,34.54,8.12,66.49,13.57,0,38.13,29.69,48.23,20.72,59,68.92,12260,5,2564,2
45,281,0,29.71,8.29,67.9,12.91,0,38.25,39.04,41.28,20.95,71,7.87,12260,6,2564,2
46,287,0,25.36,8.64,61.56,21.75,0,41.07,37.55,40.47,15.72,35,0,12260,7,2564,2
47,269,0,32.45,8.69,59.87,19.8,0,46.59,32.46,37.63,18.13,33,0,12260,8,2564,2
48,263,0,34.2,10.27,70.19,20.2,0,49.74,32.21,57.56,18.79,28,0,12260,9,2564,2
